name,description
Художественный Руководитель Оперной Труппы,
Заведующий Оперной Труппой,
Заведующая Режиссерским Управлением Оперы,
Заместитель Заведующей Режиссерским Управлением Оперы,
Помощник Заведующей Режиссерским Управлением Оперы,
Помощник Заведующей Режиссерским Управлением Оперы,
Помощник Режиссера В Управлении Оперы,
Концертмейстер,"Руководитель группы инструментов в симфоническом оркестре(или ином оркестре: народных инструментов, духовом), обычно наиболее опытный и/или одарённый исполнитель на соответствующем инструментев данном коллективе"
Репетитор По Вокалу,
Репетитор По Французскому Языку,
Репетитор По Итальянскому Языку,
Врачи-фониатры,"Врачи, которые лечат голос"
